,video_id,title,views,likes,comments,duration_minutes,publish_time_hours
188,tqRC3Svjqt0,LAURA LEE ♥ CAT'S PAJAMAS PALETTE: Review & Swatches,2007800,79702.0,6780.0,14.05,2.45
189,4YX_1wql-Xw,TESTING EXPENSIVE $$$ AF LIQUID LIPSTICKS | Jeffree Star,3707924,99331.0,9371.0,16.6,22.43
190,MZY3gegYLAU,ADVENTURES IN BORA BORA... NATE'S BIRTHDAY VLOG!!!!!,6822323,154339.0,10751.0,19.42,0.18
191,p7CRt2CFuok,TESTING 'SEX PROOF' MASCARA... WITH NATHAN,9665894,326236.0,,11.28,23.1
192,4LwpGaDKmZ8,FENTY BEAUTY by RIHANNA... HIT OR MISS?! | Jeffree Star,12972249,318793.0,20483.0,23.32,3.33
193,4cmp4cHUZQ0,FULL FACE USING ONLY NYX PRODUCTS! | Jeffree Star,6722719,174620.0,200727.0,25.28,21.8
194,XoXH_kZF58w,MAGIC GLITTER TRANSFORMING LIQUID LIPSTICK... Is It Jeffree Star Approved?,4231519,156074.0,6581.0,11.48,22.52
195,4wlXey89nfA,TRYING OUT BROW WIGS!!!! Are They Jeffree Star Approved?!,4604484,137750.0,8086.0,16.1,23.4
196,Z2HtLK7DQ3g,KIM K DRAMA?! KKW POWDER CONTOUR & HIGHLIGHT KIT REVIEW | Jeffree Star,8199382,196427.0,12699.0,25.08,0.15
197,M3SlJC5orIM,ROLLER WHEEL EYELINER… TRYING WEIRD MAKEUP | Jeffree Star,4054886,112793.0,5636.0,9.27,23.52
198,-rxG8n--5-Y,TESTING MAGICAL COLOR CHANGING MAKEUP! feat. LAURA LEE,2966052,100213.0,8158.0,15.68,23.77
199,IqatuS8-DL4,JEFFREE STAR X JOUER COSMETICS - LIP TOPPER COLLAB REVEAL!!,1949085,73223.0,5886.0,14.18,0.72
200,6Q1q3lrHrP4,DIOR LIQUID LIPSTICKS… Are They Jeffree Star Approved??,1739025,68922.0,5360.0,13.72,23.52
201,aAneLnb1ZlE,MOSCHINO + SEPHORA COLLECTION: Review & Swatches,4571392,137902.0,8861.0,21.43,23.85
202,RChr_2rSAUc,JULY HOLY GRAILS... AND FAILS | 2017,2111805,74372.0,6664.0,15.9,0.48
203,Iy06qRmNkf0,$250?! TESTING THE WORLD’S MOST EXPENSIVE FOUNDATION!,7532038,204071.0,12566.0,21.07,23.52
204,_1sVkTH1Krw,MERMAID MAKEUP?! TRYING THE FALL ‘17 WET N WILD COLLECTION!,3398298,148058.0,104517.0,20.23,22.62
205,0iK7k80Yhzw,THE TRUTH... ANASTASIA SUBCULTURE EYESHADOW PALETTE REVIEW,6506044,173921.0,14871.0,20.45,0.97
206,2eD11_GUde0,"WE BROKE MY $59,000 LOUIS VUITTON SKATEBOARD",5159961,131676.0,14084.0,10.28,23.23
207,8DY1dfAZCzQ,LOUIS VUITTON X SUPREME HAUL | Jeffree Star,5319534,149075.0,10695.0,10.87,23.72
208,EK9pVDna36A,BEST NEW DRUGSTORE MASCARA??? Is It Jeffree Star Approved?,2855414,100579.0,9460.0,8.93,2.03
209,ivxq6xUUWek,PORE FIXER?? TARTE BRIGHT & TIGHT FACE MASK | Review & Demo,2193081,70690.0,4472.0,10.63,23.73
210,cQ8cm21c8CE,$9.99 MAYBELLINE HIGHLIGHTER VS. $42 LUXURY HIGHLIGHTER,6070392,175867.0,11851.0,12.48,23.58
211,Ihy37yS-b-s,LAURA MERCIER FULL COVERAGE FOUNDATION | Review & Demo,2151533,85726.0,8052.0,12.43,0.5
212,9t8jiXpYcE0,BEST MATTE LIPSTICK ON EARTH?? Pat McGrath MatteTrance Review + Swatches,3119405,124625.0,10623.0,11.62,23.55
213,xuH7Bq1XvkE,PIGMENTED OR NAH? SEPHORA PRO EYESHADOW PALETTES | feat. Laura Lee,2477059,128466.0,204002.0,20.25,1.58
214,0BqtB-kVPuI,ROSE MAKEUP BRUSHES… Are They Jeffree Star Approved?,5483260,244583.0,320955.0,16.1,1.78
215,ebOqNwr9sl0,JUNE HOLY GRAILS… AND FAILS 2017,3329261,116777.0,8999.0,15.85,0.82
216,zU0hHHPUf_Q,PUTTY HIGHLIGHTER… TRYING WEIRD MAKEUP | Jeffree Star,6091278,187481.0,9104.0,10.6,2.32
217,2bhiiFwUdU8,SHANE DAWSON MAKEUP TUTORIAL | Jeffree Star,16520750,549795.0,48684.0,21.32,0.5
218,6rdi9NXmbd8,TESTING CRAZY WEIRD AF FACE MASKS w. MY BOYFRIEND,4537258,128973.0,8616.0,11.8,23.4
219,G8yAukb2QT0,HOT SUMMER MERMAID Makeup Tutorial | Jeffree Star Cosmetics,1387018,57473.0,4711.0,14.05,22.55
220,Q3IN5gXHEHc,KIM KARDASHIAN: KKW CONTOUR + HIGHLIGHT KIT REVIEW | Jeffree Star,8349238,169288.0,,17.07,22.32
221,Su6FeI7lHVg,RACISM.,5189461,302396.0,,15.18,22.53
